x y z r g b
1.623905 -4.238957 0.212106 128 168 103
1.108976 -5.105184 8.082509 119 160 94
-1.035439 -0.387680 2.778661 142 171 105
0.157537 0.305857 3.827971 116 170 56
1.234435 -3.471279 6.606284 139 177 54
-2.126066 2.168809 6.857471 130 171 58
-0.650848 -0.465672 -1.919256 122 156 105
-1.227783 2.256144 6.644236 152 192 107
0.021016 -0.482000 2.195380 139 178 41
0.162812 -1.502350 3.230491 108 160 87
1.013558 -3.610405 -1.193427 139 166 122
0.012170 -1.286185 -1.157372 141 172 84
-0.401759 -0.885360 -2.100395 139 165 90
1.487740 -4.038025 0.170810 133 175 105
3.230769 -5.506946 0.663611 143 182 114
-0.884307 -1.058128 -1.462600 116 156 98
0.417730 -3.366856 6.958580 119 158 55
-0.797272 1.484522 1.902688 115 157 79
-0.062225 -3.229361 6.232234 137 172 59
1.049001 -3.266798 6.560777 131 163 56
0.563234 -2.162720 -1.026068 125 159 91
-0.132664 0.779605 4.793720 111 164 41
1.667557 -4.884747 8.262690 160 178 128
-0.927904 -0.086263 4.194004 139 178 30
-0.384694 -0.386739 3.682811 143 183 25
-1.046891 -0.603586 3.354875 152 191 62
-1.158264 2.380750 2.877288 110 157 76
0.713242 -2.710482 -0.951566 125 161 81
-1.680607 1.510523 1.968113 128 157 78
-1.293538 -0.420895 2.351697 147 183 91
-1.664754 1.588477 2.096819 128 156 78
0.081504 -1.215585 -2.569152 150 178 117
-1.222798 0.079771 3.526710 140 180 30
-0.047705 -1.060739 -2.165567 136 167 92
2.014114 -5.437310 8.333535 136 163 129
0.150491 -1.163091 0.309005 116 161 105
0.155455 -2.891128 4.807879 213 242 207
-2.558432 1.993377 7.220797 134 165 59
-0.860725 -1.130939 -1.361599 113 156 95
-0.363754 -2.390155 3.047861 127 161 65
0.250237 -0.821885 2.847160 129 172 21
2.081714 -4.045559 -0.601048 98 159 109
0.232468 -1.265862 1.857813 117 159 49
-2.652896 2.061602 6.884678 126 168 50
0.027177 -1.340636 -0.179455 135 166 96
-0.699065 -0.373028 -1.793241 125 154 109
1.370469 -3.687319 0.069967 131 171 92
-0.818129 0.171959 4.233360 128 169 44
-0.985813 -1.102350 -1.333327 114 156 95
-0.140997 -0.717746 -2.084307 144 168 109
0.350211 -1.997478 4.525298 148 182 21
-0.490377 -0.846769 2.960550 138 174 68
0.086964 -1.210983 -2.395777 158 184 121
0.649927 -4.591002 8.230016 123 164 69
1.457339 -5.207570 8.768947 167 192 136
-0.319010 -0.140583 4.390442 138 182 32
-0.975520 -0.026110 -1.133211 137 160 126
-1.012127 -0.893044 0.231416 111 159 90
-0.516900 -2.180292 3.550150 127 168 67
-0.064659 -3.172094 6.139760 136 171 51
2.890801 -5.941310 0.098160 129 155 130
-1.506617 2.213687 6.004371 148 186 87
-0.355349 -0.109588 -0.953481 138 167 108
-0.329116 -0.708409 2.071876 139 181 86
-1.421831 2.476945 2.894405 123 159 90
3.359923 -5.185147 0.621462 143 169 117
-0.330413 -1.612735 1.877148 127 165 43
1.260545 -5.651418 8.454984 138 174 95
1.058812 -3.013215 5.343229 141 180 42
-0.103235 -1.036460 -0.924820 128 163 61
-1.071604 1.389994 1.985213 119 156 73
-0.481891 -1.049090 1.110383 134 172 35
1.101972 -5.098167 8.226267 122 163 85
0.167484 0.470570 3.768031 127 179 76
-0.420159 -0.731503 -1.701468 123 156 85
0.007032 -2.623496 4.864130 138 176 55
-0.371884 -0.401807 -0.601053 132 164 85
-0.735095 1.350846 1.826348 116 156 81
2.160093 -4.029671 0.182970 139 168 117
-0.634894 -0.472443 -0.713469 127 164 81
-0.900248 -0.241599 -1.347244 130 156 123
-0.188187 -0.259143 -0.908656 143 177 99
0.868147 -0.315064 3.694186 147 183 29
-0.443768 -0.840049 -1.994878 136 165 85
2.615826 -5.565007 0.118380 134 163 116
-0.390037 -1.014806 -2.284170 149 168 114
2.091944 -4.849440 0.586563 126 165 104
0.179879 -3.029486 5.997969 127 164 58
0.693746 -2.671864 -1.141218 128 166 87
-1.554210 1.992943 6.795240 151 188 86
0.083764 0.012318 3.579857 113 169 40
1.588226 -6.356947 8.606112 125 161 100
0.836266 -4.974619 7.941497 141 179 71
-0.142590 -0.857941 1.845608 131 174 96
0.883668 -3.070181 -0.758134 130 172 95
-0.206407 -0.411187 -1.120232 131 170 95
0.589900 -2.979807 5.711626 124 154 65
-0.171840 -1.369912 2.938075 126 170 79
-0.041142 -0.910493 -2.520700 143 160 95
-0.188138 -1.650171 0.804498 136 171 71
-1.136966 -0.638220 1.665046 131 175 102
0.793365 -3.086246 -0.934126 121 162 91
-1.915802 1.010281 5.787501 134 172 48
0.847479 -3.511802 7.079062 129 170 48
-0.132004 -1.104663 -0.539631 132 163 45
0.045981 0.054202 0.059585 186 208 236
0.396867 -1.179307 -1.605091 151 173 126
-0.282886 -3.358134 5.935977 143 180 34
-0.364915 -0.680748 2.432783 148 185 76
-1.606462 2.002309 6.649720 147 187 68
-0.199258 -1.489895 1.018576 117 161 39
-0.932854 0.006713 -0.927619 127 160 123
-0.941719 1.268605 4.655274 150 189 63
-2.075963 2.126085 6.464774 136 177 70
-2.531722 3.120454 7.312674 133 166 96
0.111532 -1.413863 -0.319100 137 165 85
0.718993 -2.960845 6.416112 127 168 51
-0.964426 1.590865 5.855079 130 176 72
-0.880381 -0.501119 2.479765 151 178 96
-0.211975 -1.095573 0.007808 134 168 41
-0.001010 -1.049877 -2.338599 142 167 109
-1.710916 2.098863 3.051878 130 175 36
-1.567952 2.285049 3.431097 127 169 46
2.682348 -5.096360 0.352964 127 164 131
1.057626 -4.031716 7.850406 126 169 53
-0.898049 -0.310708 -1.592209 128 156 115
-0.195357 -3.631330 7.363375 149 176 81
0.318627 -1.158300 1.767206 115 164 92
-2.403824 1.798653 6.374495 117 163 41
0.151429 -1.475271 1.222746 121 161 86
-0.437638 -2.689444 4.162435 117 159 81
-0.550974 1.289966 5.224108 148 187 51
1.157651 -3.017148 -0.210024 141 161 123
0.543337 -4.961654 7.701243 136 177 97
1.025567 -6.063230 8.263884 137 173 89
-0.889074 -0.129039 -1.461971 144 166 129
2.908432 -5.834026 0.450081 146 166 117
-2.174921 2.970844 7.257212 128 172 67
