X Y Z R G B
-4.368913860446500763e+00 -9.837583513946950298e-01 -8.950904286746020233e+00 1.610000000000000000e+02 1.540000000000000000e+02 1.430000000000000000e+02
5.818839933520022489e-01 -1.045147864320476128e+00 -8.221121557068514107e+00 4.800000000000000000e+01 2.500000000000000000e+01 2.300000000000000000e+01
5.413223414711253456e-01 -9.272767155233105907e-01 -4.351930523196923417e+00 5.900000000000000000e+01 7.100000000000000000e+01 5.000000000000000000e+01
2.709385078038122341e-01 -1.398894256672977621e+00 -3.729643367776024565e+00 9.600000000000000000e+01 1.180000000000000000e+02 7.000000000000000000e+01
-3.304517940512901042e-01 -3.559421449987764663e-01 -7.738819154393604016e+00 1.580000000000000000e+02 1.300000000000000000e+02 8.200000000000000000e+01
3.713866595533430459e-01 5.644839938113316996e-02 -4.102021814919912579e+00 2.300000000000000000e+01 2.100000000000000000e+01 1.700000000000000000e+01
4.085843765664777250e-01 -1.129507330087853312e+00 -7.734335578662333788e+00 5.100000000000000000e+01 2.900000000000000000e+01 2.700000000000000000e+01
-1.819983567856648665e-01 -2.620480683050616655e-01 -7.302819605236155809e+00 9.800000000000000000e+01 7.700000000000000000e+01 5.300000000000000000e+01
3.691269802705767766e-01 -1.136015410129740832e+00 -5.684816225711454507e+00 1.150000000000000000e+02 9.800000000000000000e+01 8.900000000000000000e+01
-1.172909040060697988e-01 -7.842270759109757350e-01 -2.085681833703551646e+00 1.330000000000000000e+02 1.520000000000000000e+02 7.900000000000000000e+01
4.673461160799602387e-01 -5.121715003912680197e-01 -3.347351976592979561e+00 1.560000000000000000e+02 1.280000000000000000e+02 5.700000000000000000e+01
1.182008869448031435e-01 -1.887638239605650359e+00 -2.667443120077836127e+00 1.020000000000000000e+02 1.290000000000000000e+02 6.900000000000000000e+01
-2.676410191129512950e-01 -4.333947732521146179e-01 -7.743522546622092939e+00 1.600000000000000000e+02 1.300000000000000000e+02 7.700000000000000000e+01
